types,counts,probs,total_unique
Elsie,1178,6.982971153452866e-4,18029
Juniper,1173,6.953332056876241e-4,18029
Alexandria,1165,6.905909502353641e-4,18029
Myla,1163,6.894053863722991e-4,18029
Ariella,1161,6.88219822509234e-4,18029
Kate,1156,6.852559128515715e-4,18029
Mariana,1148,6.805136573993115e-4,18029
Lilah,1145,6.78735311604714e-4,18029
Charlee,1141,6.763641838785841e-4,18029
Daleyza,1126,6.674724549055965e-4,18029
Nyla,1126,6.674724549055965e-4,18029
Jane,1123,6.65694109110999e-4,18029
Maggie,1122,6.651013271794665e-4,18029
Zuri,1122,6.651013271794665e-4,18029
Aniyah,1118,6.627301994533365e-4,18029
Lucille,1115,6.60951853658739e-4,18029
Leia,1114,6.603590717272065e-4,18029
Melissa,1114,6.603590717272065e-4,18029
Adelaide,1111,6.58580725932609e-4,18029
Amina,1109,6.57395162069544e-4,18029
Giselle,1104,6.544312524118815e-4,18029
Lena,1094,6.485034330965565e-4,18029
Camilla,1088,6.449467415073615e-4,18029
Miriam,1088,6.449467415073615e-4,18029
Millie,1087,6.443539595758289e-4,18029
Brynn,1084,6.425756137812315e-4,18029
Gabrielle,1084,6.425756137812315e-4,18029
Sage,1083,6.41982831849699e-4,18029
Annie,1080,6.402044860551015e-4,18029
Logan,1074,6.366477944659064e-4,18029
Lilliana,1066,6.319055390136464e-4,18029
Haven,1058,6.271632835613864e-4,18029
Jessica,1057,6.265705016298539e-4,18029
Kaia,1057,6.265705016298539e-4,18029
Magnolia,1041,6.170859907253339e-4,18029
Amira,1035,6.135292991361388e-4,18029
Adelynn,1029,6.099726075469439e-4,18029
Makenzie,1026,6.081942617523464e-4,18029
Stephanie,1026,6.081942617523464e-4,18029
Nina,1020,6.046375701631514e-4,18029
Phoebe,1018,6.034520063000864e-4,18029
Arielle,1009,5.981169689162939e-4,18029
Evie,1008,5.975241869847613e-4,18029
Lyric,1007,5.969314050532289e-4,18029
Alessandra,1006,5.963386231216964e-4,18029
Gabriela,993,5.886324580117739e-4,18029
Paislee,989,5.862613302856438e-4,18029
Raelyn,986,5.844829844910463e-4,18029
Madilyn,983,5.827046386964488e-4,18029
Paris,979,5.803335109703188e-4,18029
Makenna,978,5.797407290387863e-4,18029
Kinley,976,5.785551651757213e-4,18029
Gracelyn,971,5.755912555180588e-4,18029
Talia,971,5.755912555180588e-4,18029
Maeve,969,5.744056916549937e-4,18029
Rylie,966,5.726273458603963e-4,18029
Kiara,954,5.655139626820063e-4,18029
Evelynn,952,5.643283988189413e-4,18029
Brinley,951,5.637356168874088e-4,18029
Jacqueline,939,5.566222337090187e-4,18029
Laura,935,5.542511059828888e-4,18029
Gracelynn,927,5.495088505306288e-4,18029
Lexi,922,5.465449408729663e-4,18029
Ariah,920,5.453593770099012e-4,18029
Fatima,915,5.423954673522387e-4,18029
Jennifer,915,5.423954673522387e-4,18029
Kehlani,912,5.406171215576412e-4,18029
Alani,904,5.358748661053812e-4,18029
Ariyah,903,5.352820841738488e-4,18029
Luciana,902,5.346893022423162e-4,18029
Allie,901,5.340965203107837e-4,18029
Heidi,898,5.323181745161862e-4,18029
Maci,897,5.317253925846537e-4,18029
Phoenix,893,5.293542648585237e-4,18029
Felicity,892,5.287614829269912e-4,18029
Joy,890,5.275759190639262e-4,18029
Kenzie,883,5.234264455431987e-4,18029
Veronica,881,5.222408816801337e-4,18029
Margot,877,5.198697539540037e-4,18029
Addilyn,871,5.163130623648086e-4,18029
Lana,868,5.145347165702111e-4,18029
Cassidy,864,5.121635888440812e-4,18029
Remington,862,5.109780249810162e-4,18029
Saylor,862,5.109780249810162e-4,18029
Ryan,860,5.097924611179511e-4,18029
Keira,859,5.091996791864187e-4,18029
Harlow,858,5.086068972548862e-4,18029
Miranda,858,5.086068972548862e-4,18029
Angel,849,5.032718598710936e-4,18029
Amanda,844,5.003079502134311e-4,18029
Daniella,839,4.973440405557686e-4,18029
Royalty,836,4.955656947611711e-4,18029
Gwendolyn,835,4.949729128296386e-4,18029
Ophelia,831,4.926017851035086e-4,18029
Heaven,829,4.914162212404437e-4,18029
Jordan,828,4.908234393089111e-4,18029
Madeleine,828,4.908234393089111e-4,18029
Esmeralda,826,4.896378754458461e-4,18029
Kira,822,4.872667477197161e-4,18029
Miracle,819,4.854884019251186e-4,18029
Elle,812,4.813389284043911e-4,18029
Amari,810,4.801533645413261e-4,18029
Danielle,809,4.795605826097936e-4,18029
Daphne,806,4.777822368151961e-4,18029
Willa,806,4.777822368151961e-4,18029
Haley,802,4.754111090890661e-4,18029
Gia,799,4.736327632944686e-4,18029
Kaitlyn,796,4.7185441749987106e-4,18029
Oakley,794,4.706688536368061e-4,18029
Kailani,793,4.7007607170527354e-4,18029
Winter,792,4.6948328977374106e-4,18029
Alicia,786,4.6592659818454603e-4,18029
Serena,777,4.6059156080075354e-4,18029
Nadia,776,4.5999877886922105e-4,18029
Aviana,774,4.58813215006156e-4,18029
Demi,774,4.58813215006156e-4,18029
Jada,773,4.5822043307462354e-4,18029
Braelynn,772,4.5762765114309105e-4,18029
Dylan,771,4.570348692115585e-4,18029
Ainsley,768,4.5525652341696105e-4,18029
Alison,767,4.546637414854285e-4,18029
Camryn,767,4.546637414854285e-4,18029
Avianna,765,4.5347817762236354e-4,18029
Bianca,764,4.5288539569083105e-4,18029
Skyler,762,4.51699831827766e-4,18029
Scarlet,759,4.499214860331685e-4,18029
Maddison,757,4.4873592217010354e-4,18029
Nylah,756,4.48143140238571e-4,18029
Sarai,753,4.4636479444397354e-4,18029
Regina,751,4.451792305809085e-4,18029
Dahlia,750,4.44586448649376e-4,18029
Nayeli,748,4.43400884786311e-4,18029
Raven,747,4.428081028547785e-4,18029
Helen,745,4.416225389917135e-4,18029
Adrianna,743,4.404369751286485e-4,18029
Averie,742,4.39844193197116e-4,18029
Skye,741,4.392514112655835e-4,18029
Kelsey,738,4.37473065470986e-4,18029
Tatum,738,4.37473065470986e-4,18029
Kensley,737,4.368802835394535e-4,18029
Maliyah,736,4.36287501607921e-4,18029
Erin,735,4.356947196763885e-4,18029
Viviana,735,4.356947196763885e-4,18029
Jenna,734,4.3510193774485596e-4,18029
Anaya,733,4.345091558133235e-4,18029
Carolina,733,4.345091558133235e-4,18029
Shelby,732,4.33916373881791e-4,18029
Sabrina,731,4.333235919502585e-4,18029
Mikayla,730,4.3273081001872596e-4,18029
Annalise,729,4.321380280871935e-4,18029
Octavia,727,4.309524642241285e-4,18029
Lennon,724,4.29174118429531e-4,18029
Blair,723,4.2858133649799845e-4,18029
Carmen,723,4.2858133649799845e-4,18029
Yaretzi,723,4.2858133649799845e-4,18029
Kennedi,722,4.2798855456646596e-4,18029
Mabel,722,4.2798855456646596e-4,18029
Zariah,721,4.273957726349335e-4,18029
Kyla,720,4.26802990703401e-4,18029
Christina,719,4.2621020877186845e-4,18029
Selah,719,4.2621020877186845e-4,18029
Celeste,718,4.2561742684033596e-4,18029
Eve,716,4.24431862977271e-4,18029
Mckinley,716,4.24431862977271e-4,18029
Milani,716,4.24431862977271e-4,18029
Frances,715,4.2383908104573844e-4,18029
Jimena,712,4.2206073525114093e-4,18029
Kylee,711,4.2146795331960844e-4,18029
Leighton,710,4.2087517138807596e-4,18029
Katie,707,4.1909682559347844e-4,18029
Aitana,704,4.1731847979888093e-4,18029
Kayleigh,698,4.1376178820968595e-4,18029
Sierra,693,4.107978785520234e-4,18029
Kathryn,692,4.102050966204909e-4,18029
Rosemary,690,4.0901953275742595e-4,18029
Jolene,688,4.078339688943609e-4,18029
Alondra,687,4.0724118696282844e-4,18029
Elisa,687,4.0724118696282844e-4,18029
Helena,681,4.036844953736334e-4,18029
Charleigh,680,4.030917134421009e-4,18029
Hallie,679,4.0249893151056844e-4,18029
Lainey,677,4.013133676475034e-4,18029
Avah,675,4.001278037844384e-4,18029
Jazlyn,675,4.001278037844384e-4,18029
