types,counts,probs,total_unique
Ernesto,406,2.335229700900789e-4,4742
Benny,404,2.323726106315071e-4,4742
Blake,404,2.323726106315071e-4,4742
Sheldon,403,2.3179743090222116e-4,4742
Bryon,401,2.3064707144364937e-4,4742
Drew,400,2.3007189171436344e-4,4742
Demetrius,397,2.2834635252650572e-4,4742
Scottie,393,2.2604563360936208e-4,4742
Earnest,390,2.2432009442150435e-4,4742
Clay,389,2.2374491469221846e-4,4742
Devin,389,2.2374491469221846e-4,4742
Luke,388,2.2316973496293253e-4,4742
Darnell,385,2.214441957750748e-4,4742
Alonzo,384,2.208690160457889e-4,4742
Garrett,384,2.208690160457889e-4,4742
Stephan,384,2.208690160457889e-4,4742
Alton,380,2.1856829712864527e-4,4742
Bennie,376,2.1626757821150165e-4,4742
Marion,367,2.1109096064792846e-4,4742
Chuck,363,2.0879024173078481e-4,4742
Julius,362,2.0821506200149892e-4,4742
Jeffry,360,2.070647025429271e-4,4742
Johnathan,360,2.070647025429271e-4,4742
Alfonso,357,2.0533916335506937e-4,4742
Pete,356,2.0476398362578348e-4,4742
Jarrod,353,2.0303844443792573e-4,4742
Sherman,351,2.0188808497935393e-4,4742
Edmund,349,2.007377255207821e-4,4742
Gerardo,349,2.007377255207821e-4,4742
Robby,345,1.9843700660363846e-4,4742
Jerald,341,1.9613628768649485e-4,4742
Zachary,341,1.9613628768649485e-4,4742
Willard,339,1.9498592822792302e-4,4742
Carey,338,1.944107484986371e-4,4742
Ira,334,1.9211002958149348e-4,4742
Israel,334,1.9211002958149348e-4,4742
Rob,334,1.9211002958149348e-4,4742
Salvador,334,1.9211002958149348e-4,4742
Stewart,333,1.9153484985220758e-4,4742
Vance,331,1.9038449039363576e-4,4742
Dirk,330,1.8980931066434983e-4,4742
Jonathon,330,1.8980931066434983e-4,4742
Rusty,328,1.8865895120577804e-4,4742
Oliver,323,1.857830525593485e-4,4742
Laurence,321,1.8463269310077667e-4,4742
Thad,320,1.8405751337149075e-4,4742
Luther,319,1.8348233364220485e-4,4742
Omar,318,1.8290715391291895e-4,4742
Rodolfo,316,1.8175679445434713e-4,4742
Archie,315,1.811816147250612e-4,4742
Elmer,308,1.7715535662005987e-4,4742
Pablo,308,1.7715535662005987e-4,4742
Lamar,303,1.7427945797363032e-4,4742
Dallas,302,1.737042782443444e-4,4742
Monty,302,1.737042782443444e-4,4742
Tod,302,1.737042782443444e-4,4742
Blaine,299,1.7197873905648668e-4,4742
Lowell,299,1.7197873905648668e-4,4742
Andres,298,1.7140355932720078e-4,4742
Darwin,297,1.7082837959791485e-4,4742
Rodger,297,1.7082837959791485e-4,4742
Roosevelt,297,1.7082837959791485e-4,4742
Terrell,297,1.7082837959791485e-4,4742
Forrest,296,1.7025319986862896e-4,4742
Guillermo,293,1.6852766068077124e-4,4742
Gilberto,292,1.679524809514853e-4,4742
Tommie,292,1.679524809514853e-4,4742
Pat,290,1.668021214929135e-4,4742
